Time (mS),Barometer Temp (C),IMU Temp (C),Pressure (hPA),Altitude (M),Gryo X (mDPS),Gryo Y (mDPS),Gryo Z (mDPS),Accel X (mG),Accel Y (mG),Accel Z (mG),
-3965,27.8,29.4,1025.34,0.06,-721,848,875,1005,10,12,
-3945,27.8,29.5,1025.34,0.05,-1023,1242,883,1003,9,20,
-3925,27.8,29.5,1025.34,0.04,-866,1347,971,1003,5,24,
-3905,27.8,29.5,1025.34,0.04,-345,1347,927,1002,3,26,
-3885,27.8,29.5,1025.34,0.02,74,1220,918,1002,7,29,
-3865,27.8,29.5,1025.35,-0.01,-459,1137,721,1003,-2,21,
-3845,27.8,29.6,1025.35,-0.01,-406,1264,498,1005,0,16,
-3826,27.8,29.5,1025.35,-0.01,-153,1544,371,1005,6,13,
-3805,27.8,29.6,1025.35,-0.00,507,1885,472,1005,7,13,
-3785,27.8,29.5,1025.34,0.03,446,2366,376,1001,-2,33,
-3764,27.8,29.5,1025.34,0.05,157,2165,87,1000,1,43,
-3745,27.8,29.5,1025.34,0.03,258,1666,-61,1000,7,48,
-3726,27.8,29.5,1025.34,0.05,297,1028,0,1001,8,44,
-3706,27.8,29.5,1025.34,0.07,-113,616,-70,1002,8,34,
-3686,27.8,29.5,1025.34,0.03,-660,485,-100,1004,10,25,
-3666,27.8,29.5,1025.34,0.04,-783,573,-52,1005,13,19,
-3646,27.8,29.5,1025.34,0.04,-507,813,135,1004,15,22,
-3626,27.8,29.5,1025.34,0.07,-380,936,367,1003,11,29,
-3606,27.8,29.5,1025.34,0.07,-638,866,385,1001,5,32,
-3586,27.8,29.5,1025.34,0.04,-608,665,266,1002,4,36,
-3567,27.8,29.5,1025.34,0.08,-126,275,236,1002,8,32,
-3546,27.8,29.5,1025.34,0.06,415,126,328,1003,11,23,
-3527,27.8,29.5,1025.34,0.07,621,214,476,1005,15,15,
-3507,27.8,29.5,1025.34,0.05,205,525,603,1006,14,6,
-3487,27.8,29.5,1025.34,0.04,-218,1089,739,1006,13,9,
-3467,27.8,29.6,1025.34,0.07,-411,1566,901,1004,14,17,
-3447,27.8,29.5,1025.33,0.11,-503,1793,1023,1002,6,24,
-3427,27.8,29.5,1025.33,0.12,-380,1785,980,1001,-1,30,
-3407,27.8,29.5,1025.34,0.08,-266,1592,726,1000,-5,32,
-3387,27.8,29.5,1025.33,0.10,100,1413,446,1002,-2,27,
-3367,27.8,29.5,1025.34,0.10,612,1356,258,1003,2,23,
-3347,27.8,29.5,1025.34,0.08,691,1465,157,1004,6,19,
-3328,27.8,29.5,1025.33,0.12,507,1728,83,1004,5,19,
-3306,27.8,29.5,1025.33,0.14,0,1929,100,1001,5,36,
-3286,27.8,29.5,1025.33,0.10,-166,1671,21,1000,6,45,
-3267,27.8,29.5,1025.33,0.11,-420,1124,-30,1000,7,45,
-3248,27.8,29.5,1025.34,0.08,-765,621,-126,1001,3,38,
-3228,27.8,29.4,1025.34,0.09,-665,341,-227,1002,6,30,
-3208,27.8,29.5,1025.34,0.08,-363,205,-183,1004,12,21,
-3188,27.8,29.6,1025.34,0.05,-83,450,-74,1005,15,15,
-3168,27.8,29.5,1025.34,0.08,8,774,135,1004,17,18,
-3148,27.8,29.6,1025.34,0.09,-161,1001,371,1003,14,24,
-3128,27.8,29.5,1025.34,0.06,-17,1054,542,1003,10,30,
-3108,27.8,29.4,1025.34,0.03,196,879,595,1001,11,33,
-3088,27.8,29.5,1025.35,-0.02,179,647,700,1002,12,29,
-3068,27.8,29.5,1025.35,-0.02,-83,573,730,1004,12,22,
-3048,27.8,29.4,1025.34,0.04,-284,695,822,1005,12,14,
-3029,27.8,29.5,1025.34,0.05,-310,1019,980,1006,8,9,
-3009,27.8,29.5,1025.34,0.09,48,1526,1067,1005,6,11,
-2989,27.8,29.6,1025.34,0.08,236,1903,1015,1004,3,18,
-2969,27.8,29.6,1025.34,0.06,249,2117,918,1003,1,28,
-2949,27.8,29.5,1025.34,0.05,126,2021,713,1001,0,37,
-2929,27.8,29.5,1025.35,0.00,144,1662,503,1000,-2,37,
-2909,27.8,29.4,1025.34,0.05,227,1343,240,1001,-1,34,
-2889,27.8,29.5,1025.34,0.08,236,1115,43,1002,4,29,
-2869,27.8,29.5,1025.34,0.08,78,1115,-8,1004,8,23,
-2849,27.8,29.5,1025.34,0.04,-433,1408,83,1003,8,28,
-2828,27.8,29.5,1025.34,0.03,-621,1369,65,1003,3,34,
-2809,27.8,29.5,1025.34,0.04,-551,1172,-78,1001,2,39,
-2789,27.8,29.4,1025.34,0.02,-433,748,-183,1000,5,39,
-2770,27.8,29.5,1025.34,0.04,-341,424,-245,1001,7,33,
-2750,27.8,29.5,1025.35,-0.01,-153,231,-196,1003,15,26,
-2730,27.8,29.5,1025.34,0.04,-35,223,30,1004,17,19,
-2710,27.8,29.5,1025.34,0.06,-83,490,297,1006,17,15,
-2690,27.8,29.5,1025.34,0.03,-271,848,503,1005,15,16,
-2670,27.8,29.5,1025.34,0.05,-371,1093,704,1003,12,21,
-2650,27.8,29.6,1025.35,0.01,-249,1246,756,1002,8,27,
-2630,27.8,29.5,1025.34,0.04,74,1207,835,1002,8,29,
-2610,27.8,29.6,1025.34,0.05,175,1054,853,1003,7,26,
-2590,27.8,29.6,1025.34,0.05,205,1036,791,1004,7,22,
-2571,27.8,29.5,1025.34,0.06,236,1159,761,1003,7,17,
-2550,27.8,29.5,1025.34,0.05,266,1443,756,1004,5,15,
-2531,27.8,29.6,1025.34,0.06,371,1745,756,1004,6,20,
-2511,27.8,29.6,1025.34,0.04,301,1925,743,1003,4,26,
-2491,27.8,29.5,1025.34,0.08,91,1955,621,1001,0,32,
-2471,27.8,29.5,1025.33,0.10,35,1723,411,1001,-1,37,
-2451,27.8,29.6,1025.33,0.13,21,1408,161,1000,0,38,
-2431,27.8,29.5,1025.33,0.16,-13,1120,-52,1001,1,34,
-2411,27.8,29.5,1025.33,0.15,-91,966,-161,1003,6,29,
-2391,27.8,29.6,1025.33,0.14,-210,945,-179,1004,8,25,
-2370,27.8,29.5,1025.33,0.13,-231,1111,-131,1003,9,28,
-2350,27.8,29.7,1025.33,0.16,-240,1041,-70,1002,9,32,
-2331,27.8,29.5,1025.32,0.19,-192,888,-70,1002,11,35,
-2312,27.8,29.5,1025.33,0.18,-126,612,61,1001,13,33,
-2292,27.8,29.5,1025.33,0.11,-183,420,161,1003,12,28,
-2272,27.8,29.5,1025.34,0.10,-236,376,297,1003,13,22,
-2252,27.8,29.6,1025.34,0.07,-297,560,450,1005,12,16,
-2232,27.8,29.5,1025.34,0.04,-188,844,551,1004,11,15,
-2212,27.8,29.5,1025.35,0.01,83,1141,717,1004,13,18,
